,int_rate,loan_amnt,annual_inc,dti,delinq_2yrs,total_acc,open_acc,pct_tl_nvr_dlq,pub_rec_bankruptcies,total_bal_ex_mort
137269,12.62%,21000,85000,24.27,1,40,25,97,0,121373
139835,16.02%,12000,70000,28.63,0,25,14,100,0,41302
5320,5.32%,26600,130000,18.29,0,23,11,91,0,56804
114005,7.35%,12000,73000,29.78,0,44,13,100,0,290033
235452,12.61%,30000,114346,19.37,0,58,26,100,0,266516
49800,11.44%,10000,60000,3.5,0,9,3,100,0,6567
81682,13.99%,12000,33600,22.11,0,26,8,100,1,134134
91419,11.44%,5750,102000,30.56,0,24,13,95,0,62336
225687,13.06%,16700,113000,26.07,0,21,11,95,0,71145
48100,14.99%,30000,152000,5.94,0,22,18,100,0,72776
109881,11.99%,10000,58704,14.37,0,28,9,100,1,15795
121241,10.42%,8400,50000,12.87,0,20,13,94,0,16786
243022,15.02%,16000,50000,32.84,3,24,11,83,0,19780
14528,11.49%,20000,89600,23.81,1,26,15,73,0,57077
181073,7.35%,10000,25000,20.47,0,16,4,100,0,803
1741,13.49%,30000,115000,16.14,0,18,10,100,0,82123
12012,29.99%,40000,95000,17.22,0,23,11,90,0,84325
152466,19.03%,4800,56000,3.04,0,4,2,100,1,7458
21691,16.99%,30000,58000,35.2,0,45,20,100,1,95392
174781,7.97%,15000,110000,11.62,0,31,17,100,0,36804
51674,5.32%,16000,120000,13.96,0,45,18,100,0,44755
219989,18.45%,28000,60000,23.82,0,36,11,100,0,52855
234915,7.34%,8000,75000,16.0,0,35,19,100,0,24923
52538,19.03%,10850,13704,25.74,0,14,9,100,0,7869
248351,7.21%,15000,83000,11.8,0,31,14,100,1,39732
21706,12.74%,6000,45000,17.07,0,26,7,88,0,14709
223201,10.56%,10000,162484,12.95,0,20,15,90,0,48720
84018,8.24%,18000,70000,18.38,0,27,19,100,0,119777
3038,30.49%,15000,25000,101.04,0,41,12,85,0,94268
223983,13.06%,5000,30000,1.0,0,6,4,100,0,130
170168,14.08%,12350,150000,11.65,2,35,7,90,0,83576
190827,14.07%,10000,53000,22.46,0,15,7,85,0,81325
235372,9.92%,5000,80000,4.21,0,9,7,100,0,10495
222644,8.08%,14000,150000,15.02,0,37,12,97,0,88914
20342,11.49%,30000,105000,25.47,1,26,9,92,0,84793
220691,11.05%,8000,132000,16.46,0,16,8,100,0,55693
109945,18.06%,10000,93000,24.86,0,31,12,96,0,85395
81545,12.74%,12000,52000,20.24,0,25,11,96,0,39844
39215,7.24%,15000,160000,8.29,0,23,10,95,0,32939
241571,6.67%,8000,62000,29.25,0,39,14,100,0,76873
93352,16.99%,35000,138000,17.88,0,11,8,100,0,70941
149725,20.00%,20000,75000,21.82,0,42,19,80,0,37756
243636,20.89%,16000,38000,37.52,2,21,10,85,0,17158
180226,9.93%,10000,40000,4.53,1,12,10,81,0,3418
113308,13.59%,15000,75000,20.66,2,33,23,93,0,76313
179164,19.03%,14000,50000,30.1,0,20,19,100,0,21251
70282,16.02%,16800,70000,8.52,0,19,8,84,0,22708
30771,12.74%,25000,108000,16.32,0,41,20,95,0,134228
116024,30.84%,30400,100500,27.46,0,27,16,96,0,60904
224104,21.85%,2000,28000,25.63,0,38,32,97,0,102164
159611,14.08%,6025,65000,2.44,3,17,7,70,0,2791
40509,13.99%,10000,165000,33.05,0,46,32,91,0,181230
243175,13.56%,40000,90000,18.56,0,34,23,100,0,46379
128073,20.00%,24000,25000,51.37,0,32,12,93,1,57385
119562,5.32%,5000,65000,19.09,0,52,16,98,0,51163
113196,13.59%,6000,92000,6.74,0,10,7,100,0,16691
255584,12.98%,40000,180000,20.62,0,41,36,95,0,158402
196185,13.58%,35000,220000,13.43,0,46,17,96,0,83466
18673,11.44%,9000,18000,12.07,0,13,9,100,0,10597
90364,13.99%,19900,88000,2.33,0,6,4,100,0,12117
75306,16.02%,13275,60000,14.02,0,11,6,81,0,25810
172782,7.21%,5000,55000,18.2,0,28,8,100,0,24426
249069,12.73%,10000,50000,17.81,0,23,14,100,0,32938
208406,21.45%,21000,65000,16.6,0,17,11,100,1,18465
184264,10.42%,4800,120000,4.23,1,18,3,77,0,16418
133619,16.02%,8000,55000,25.77,0,25,16,92,0,36006
183926,9.93%,3000,23000,25.47,0,19,15,94,0,15844
236665,9.43%,3000,75000,31.55,0,51,18,100,0,43859
173032,11.99%,6000,60000,12.39,0,24,9,87,0,11419
162041,12.62%,5200,95000,22.23,0,28,20,100,1,44242
158771,10.42%,3300,40000,19.44,0,23,6,95,1,23729
170335,11.99%,23000,85000,4.59,0,18,10,100,0,19676
206076,18.06%,4800,48500,20.98,0,10,6,100,0,25850
248472,16.14%,25000,50000,11.83,0,24,7,100,0,19384
179977,30.75%,30000,131000,9.81,0,12,8,83,0,19649
253186,24.84%,12925,30000,11.36,0,32,7,90,0,50788
262891,8.46%,12000,30000,13.04,0,10,4,100,0,11362
41252,16.99%,9600,80000,31.04,0,22,10,100,1,68925
243218,13.56%,7000,3109,471.81,0,22,9,100,1,65836
199241,10.91%,2500,26000,15.65,0,5,4,100,0,11729
47292,11.49%,12000,150000,7.26,0,26,10,100,1,26257
118262,13.59%,11050,60000,21.14,0,18,12,94,0,54034
152623,7.35%,30000,72000,16.14,0,17,12,100,0,43226
107982,15.05%,12950,28236,27.2,0,26,18,96,0,20168
84272,11.49%,6000,38000,7.08,0,5,5,100,1,5377
85155,11.44%,3000,39360,19.05,0,12,7,100,0,24648
219880,6.83%,40000,58000,25.7,1,36,16,75,0,58211
84544,7.24%,2500,118000,6.84,1,28,12,96,0,24558
100833,11.99%,11200,60000,18.96,1,23,7,95,0,38181
141543,19.03%,15000,49000,15.59,1,17,10,70,0,13791
65292,9.44%,7000,55000,14.55,0,22,11,95,0,18114
13850,11.39%,7050,40000,13.17,0,17,16,100,1,21161
129386,7.21%,10000,56000,27.52,0,20,9,100,1,43363
260870,6.67%,25000,80000,16.23,0,20,10,100,0,35478
261190,10.47%,3600,90000,4.01,0,44,12,27,0,9739
213589,5.32%,24000,125000,21.17,0,23,11,100,0,44487
261013,17.97%,1000,200000,6.41,0,13,7,100,0,72162
182736,14.08%,10000,208000,8.89,0,23,6,100,0,131073
62932,19.03%,21000,115000,15.2,0,46,22,95,0,75567
22741,8.24%,4500,35000,23.56,0,18,12,94,0,16113
17220,29.99%,14625,40000,17.97,0,22,11,73,1,14845
207152,16.02%,12000,27000,32.44,0,10,8,100,0,34137
102440,10.91%,7200,30000,15.92,0,22,6,100,0,9578
9951,18.99%,12800,52000,29.93,0,28,9,96,0,34396
44851,12.74%,8500,45000,19.31,0,23,11,100,1,24400
210845,15.05%,35000,46800,6.92,0,19,8,89,0,12930
146821,10.91%,5775,14448,19.1,1,20,5,100,0,12136
35483,15.99%,28000,100000,16.31,0,36,26,97,0,66537
113770,20.00%,16000,75000,26.37,0,45,21,100,0,52901
30955,13.49%,27350,57000,17.81,0,12,5,83,0,33774
44844,10.49%,10000,60000,22.72,1,32,15,71,0,31443
169212,6.08%,25000,102000,19.24,1,36,19,94,0,108350
36778,13.49%,12000,72190,13.21,0,9,6,77,1,32595
241214,6.11%,8000,75000,18.34,0,25,10,100,0,72197
123305,29.69%,5000,18000,7.2,1,8,6,87,0,18606
38944,11.39%,4800,63000,10.67,0,19,7,84,0,26308
192595,15.04%,10200,58000,12.44,0,26,15,100,0,15382
26954,14.99%,6000,74000,15.24,0,15,11,85,0,30855
82832,10.49%,11000,26811,16.03,0,23,13,100,0,9846
19662,17.99%,3200,75000,11.06,0,8,5,100,0,9068
131715,12.62%,10000,229000,6.06,1,16,8,68,0,132167
146829,9.44%,9600,70000,5.14,0,18,8,94,0,15671
217307,21.85%,35000,35000,3.16,0,25,9,70,0,27644
64303,9.93%,28000,131607,7.73,0,10,7,100,0,45924
38714,22.74%,2800,38880,11.8,8,31,11,58,0,21920
425,14.99%,10050,42000,21.34,0,22,11,100,1,32740
243338,8.46%,10500,55000,17.91,1,17,3,88,0,32029
168924,17.09%,10000,51000,25.76,0,15,14,100,0,58821
176564,10.42%,3600,40000,21.45,2,37,20,91,0,42811
85665,14.99%,6400,36000,15.1,0,13,8,92,0,13232
169788,12.62%,35000,41000,2.58,0,7,2,100,0,3726
96452,11.39%,12000,63000,20.95,0,28,11,96,0,60076
176191,11.99%,35000,50000,11.09,0,19,5,94,0,30666
257380,16.14%,10000,115000,4.88,2,20,6,85,0,19622
765,7.99%,12000,145000,16.45,0,37,15,100,0,71199
231369,13.58%,24000,40000,33.54,0,45,23,97,0,50247
186845,21.45%,12000,48000,33.63,1,21,16,95,0,39363
51641,5.32%,15000,69143,15.47,0,18,9,66,0,32202
107567,9.93%,13000,56850,20.81,1,21,15,95,1,25752
191213,13.58%,8000,40000,18.96,0,11,6,100,0,24485
87925,30.84%,26100,89200,29.28,0,42,19,78,0,48813
60523,9.44%,15000,45000,11.17,0,16,8,100,0,28704
12042,11.44%,15000,80000,21.11,0,36,25,100,0,137130
62872,9.93%,27725,250000,29.85,0,31,10,100,0,263764
15538,23.99%,32000,146472,7.82,1,24,21,100,0,24989
55633,26.30%,35000,120000,13.63,0,18,7,100,1,58446
207667,6.08%,15000,46000,39.68,0,23,15,100,1,35987
207237,7.35%,10000,26600,8.89,0,9,6,100,1,6492
29295,13.99%,12000,40000,18.51,0,12,9,100,0,26877
191558,6.71%,21600,24000,2.7,0,18,12,94,0,297
107219,7.35%,6000,74000,35.23,0,47,21,100,0,64089
199971,7.35%,8000,30000,24.48,0,18,15,100,0,20599
16270,12.74%,14000,250000,16.45,0,40,18,100,0,266086
127452,5.32%,25000,164000,14.21,0,35,17,100,0,84748
18358,8.24%,5400,120000,28.63,2,33,15,66,0,102514
75775,5.32%,6000,101000,18.07,0,32,15,100,0,152002
260182,15.02%,20000,103800,16.13,0,26,18,100,0,32584
177452,20.00%,20000,60000,27.04,1,14,10,64,0,34122
230774,9.43%,9000,45000,23.6,0,8,4,100,0,27282
185401,7.07%,8200,80000,10.94,0,29,10,100,0,18862
177165,10.42%,15000,99977,25.26,0,40,18,100,0,77840
235615,29.69%,16000,152000,12.44,1,38,20,94,0,413258
134785,12.62%,8450,35000,32.06,0,17,5,100,0,33645
214266,13.59%,3000,21000,7.09,0,20,9,90,0,2775
181813,14.08%,24500,292000,0.8,0,22,6,81,0,2348
124437,19.03%,15000,62000,23.95,0,16,9,100,0,46936
187463,9.44%,20400,110000,17.37,0,16,9,92,1,50275
262798,10.47%,10000,60000,11.72,1,21,9,85,0,15362
151324,15.05%,13500,42800,20.4,1,51,19,92,0,32066
211257,15.05%,15000,115000,28.9,0,32,10,96,0,104434
84203,18.99%,10000,54000,14.84,0,18,16,100,0,20417
11438,17.99%,14475,45000,33.41,0,34,15,100,1,42525
117361,9.93%,25600,180000,13.97,1,24,10,91,0,215398
135164,23.88%,12000,76000,33.63,2,48,14,93,0,101647
140571,15.05%,32000,105000,20.26,0,30,12,100,0,78415
201510,12.62%,12000,53500,17.99,1,38,27,94,0,23462
146790,18.06%,7000,57500,22.02,0,18,12,100,1,26067
140092,16.02%,24000,69326,15.77,0,29,14,96,0,54158
98525,16.99%,25000,75000,30.05,0,20,13,100,0,64309
123237,19.03%,16800,98235,12.81,1,34,19,94,0,57345
11030,13.49%,12000,60000,22.28,0,24,20,95,0,17606
23963,7.24%,4000,95000,6.3,0,27,17,100,0,16360
7919,15.99%,29000,80000,16.92,1,16,10,93,0,51168
10608,13.49%,20000,108000,31.64,0,37,22,100,0,78537
135329,7.21%,10000,150000,32.08,0,46,17,100,0,161585
44761,11.44%,30000,88000,14.18,0,32,17,100,0,93738
243026,16.91%,24000,60000,31.76,0,23,8,100,1,41380
116236,14.08%,14000,44000,20.35,0,24,14,100,0,16193
56829,16.02%,4800,50000,24.75,0,33,19,100,0,52478
174492,28.72%,25000,180000,4.93,0,18,15,100,0,34729
165495,12.62%,17500,100000,12.41,0,39,20,94,0,63126
56690,21.45%,8000,33000,32.91,0,19,9,84,0,24768
257493,10.33%,23000,138000,13.9,0,33,14,100,1,74456
62887,18.06%,14925,58000,31.88,1,19,11,89,0,64621
131398,10.91%,5000,37000,19.66,1,9,6,66,0,20381
18216,5.32%,4200,32000,8.96,0,45,16,100,0,215371
64544,21.45%,15000,60000,24.6,1,29,12,69,0,37819
5739,18.99%,7200,33000,28.73,0,13,13,100,0,34216
110867,15.05%,15000,75000,10.48,1,13,5,76,0,21173
168558,9.44%,16000,55000,23.34,0,18,10,100,0,27581
26798,12.74%,6000,92000,27.3,0,46,37,96,0,122670
62597,15.05%,2900,106000,28.38,1,26,9,63,0,55658
192830,11.98%,13000,71000,11.34,0,9,4,100,0,27670
229225,9.43%,14000,50000,36.17,0,25,11,100,1,69436
244297,26.31%,7500,100000,13.48,0,11,9,100,0,110071
211692,12.62%,15000,73000,6.36,0,20,6,89,1,11914
223664,6.83%,11500,45000,14.51,0,22,7,100,0,13757
60067,14.08%,8000,175000,28.77,0,67,20,98,0,259016
52038,9.93%,22400,187000,16.21,1,51,19,94,0,74003
153780,14.08%,9400,32000,17.03,0,46,14,84,0,11618
111919,30.99%,35000,137500,26.63,0,39,34,92,0,132643
135373,15.05%,10000,45000,31.07,0,28,14,96,0,39686
26162,13.99%,3000,60000,17.8,0,25,11,95,0,85969
230818,26.77%,30000,45000,15.73,0,18,6,100,0,48375
55717,14.08%,16000,243000,5.06,3,16,14,86,0,97857
78356,11.49%,5000,34000,34.03,0,28,18,100,1,27422
144963,13.59%,15500,120000,23.16,6,31,12,76,0,87054
6180,7.49%,8000,115000,11.71,0,18,11,94,0,93054
47269,11.44%,14000,36608,17.8,0,22,12,95,0,13863
102017,16.02%,10000,40000,34.19,0,29,24,100,0,23454
63644,10.91%,12000,54000,32.4,0,24,8,100,0,50069
29075,18.99%,15000,50000,32.05,0,47,9,95,0,25777
236009,19.42%,24000,47000,10.75,0,10,8,100,0,14863
136294,15.05%,3000,40000,13.95,0,15,9,92,1,19017
122543,10.91%,5000,165000,13.85,0,30,12,100,1,82150
23819,11.44%,18000,72000,6.78,1,26,10,92,0,14698
53425,9.44%,3000,21000,12.81,0,17,14,100,0,33554
249750,17.97%,5000,25000,7.2,0,4,4,100,0,7593
142438,7.97%,13000,56000,26.64,0,35,18,93,0,88509
133539,5.32%,12000,60000,8.94,0,26,11,100,0,13020
262546,12.73%,35000,70000,11.31,1,25,14,84,1,35028
200887,12.62%,19600,61000,10.53,0,16,11,100,0,14618
111346,7.21%,10000,65000,29.89,0,25,14,100,0,63651
128897,10.91%,25000,65000,22.69,0,20,7,88,0,48041
88286,7.99%,12000,37000,24.72,0,32,8,100,0,28085
211150,11.99%,4500,35000,11.08,0,12,6,100,1,6703
46029,8.24%,7500,53508,17.69,0,31,17,100,0,63780
212769,17.09%,12000,30000,19.2,0,21,13,95,1,13724
190860,6.07%,7500,39500,18.05,0,19,9,100,0,9811
96796,10.49%,23000,150000,20.6,0,33,22,100,0,100291
10050,7.99%,7775,99000,27.67,0,33,21,97,0,75554
228836,24.84%,32000,130000,10.2,0,15,9,100,0,16320
196991,19.42%,2000,45000,26.11,0,15,10,93,0,36981
145415,26.30%,27900,62000,29.54,0,29,14,76,1,83519
242587,7.84%,20000,74000,19.88,0,19,16,100,0,27162
221170,15.49%,20000,85000,27.45,0,26,21,100,0,87740
42795,12.74%,6000,130000,17.04,0,33,9,64,0,244194
209496,10.42%,6000,60000,17.94,0,17,7,100,0,71777
106335,14.08%,7475,70000,25.03,12,46,13,74,0,60097
109091,9.93%,23300,145000,14.67,0,31,8,100,0,73968
43345,13.99%,15000,83000,2.41,0,12,5,100,0,54862
60892,16.02%,5000,35888,22.3,1,13,7,92,0,28469
75906,7.97%,7500,75000,10.22,2,21,12,76,0,11097
257091,11.31%,6600,39258,26.81,0,26,9,100,0,38579
156185,7.97%,15000,75000,16.78,0,30,6,96,0,23675
17834,13.49%,22000,77000,12.42,0,19,8,100,0,23521
146737,9.93%,12000,74000,11.25,1,10,5,77,0,14395
67138,12.62%,12000,68000,19.22,0,44,24,97,0,263057
259621,11.06%,8000,35000,38.72,0,22,11,100,0,421506
175339,13.59%,7000,87253,11.33,0,38,21,96,0,48858
196779,21.85%,10000,180000,21.71,1,26,14,84,0,111382
109248,26.30%,16000,45500,55.61,0,23,14,100,0,52001
85188,11.49%,10000,72500,20.68,0,67,25,98,1,37481
64103,10.42%,10000,29000,24.96,0,17,10,82,0,17823
155933,10.42%,10000,110000,10.03,0,19,8,100,0,36131
41242,11.49%,5000,55000,27.6,0,21,15,95,0,49381
32254,13.49%,21000,118000,19.55,0,33,20,100,0,65003
20348,10.49%,32000,64000,25.99,1,29,19,96,0,45504
7885,8.24%,3500,35000,2.85,0,25,9,100,1,2012
82180,10.49%,16000,102500,13.44,0,38,18,97,0,30405
53344,20.00%,10000,53000,4.39,3,23,10,70,0,4595
124605,11.99%,12000,75000,19.12,0,17,14,94,0,48534
48924,13.99%,5300,49000,8.87,0,23,18,100,0,7993
230623,9.43%,22650,150000,21.84,0,40,23,97,0,127519
244662,16.91%,20000,95000,19.77,0,35,21,100,1,172026
170431,11.99%,14000,40000,32.88,0,15,5,100,0,36384
149159,6.72%,25000,287500,4.66,0,22,11,100,0,63530
137706,26.30%,20000,100000,12.13,1,30,15,96,0,26434
234997,9.43%,10000,97000,16.28,0,44,23,100,0,62980
156895,7.35%,5000,83000,0.4,0,41,7,100,0,208
95389,14.99%,3000,110000,9.26,0,30,11,87,1,31953
165278,18.06%,30000,55600,6.54,0,46,13,100,1,38746
61168,16.02%,11200,104000,12.81,0,33,17,66,0,31433
220386,10.56%,8000,37500,23.23,0,17,10,100,1,19782
25972,8.24%,14000,67000,8.88,0,16,10,94,1,13221
67451,18.06%,5825,95000,18.78,0,75,27,72,0,94192
98478,11.39%,4000,60000,12.3,1,44,13,97,0,12974
41789,14.99%,35000,100000,9.94,0,15,10,100,0,36796
128208,14.08%,40000,60000,18.36,0,21,11,90,0,51585
84023,14.99%,28000,214000,15.74,0,20,7,95,0,146838
110030,15.05%,5500,45000,16.29,0,18,9,94,0,22934
37364,29.49%,15600,67000,9.64,1,17,9,76,0,13637
244878,12.73%,4000,50000,36.08,0,17,12,94,0,44173
32665,14.99%,7000,103656,10.93,0,31,14,85,0,70686
178390,16.02%,7000,84000,14.21,3,27,8,81,0,15839
258125,10.33%,30000,57000,10.1,0,25,14,100,0,12479
233420,18.45%,8400,60000,14.63,1,50,14,91,0,35047
47543,7.49%,30000,125000,13.54,0,28,17,100,1,104262
10181,17.99%,35000,74000,33.7,0,8,5,100,0,47585
155802,12.62%,15000,85000,10.11,0,5,4,80,0,16570
181153,15.05%,20000,56643,36.61,0,33,20,100,0,61538
133199,7.07%,11000,70000,8.52,0,16,7,86,0,12590
73558,9.93%,28000,86000,6.95,0,21,9,100,0,182259
13095,13.99%,18600,49000,15.72,1,14,10,92,0,17989
5260,11.39%,7000,78012,17.92,0,57,19,85,0,128028
167422,9.93%,5000,100000,17.84,1,41,8,87,0,58837
105146,10.42%,20000,101000,29.55,0,29,16,100,0,87928
144012,18.06%,40000,85000,14.05,0,38,20,63,0,79345
224467,26.77%,25000,68000,15.62,0,15,11,67,0,29709
24813,10.49%,5000,41865,31.27,4,21,9,81,0,41557
179707,10.42%,5000,57000,15.75,0,18,7,100,0,47314
220573,6.19%,8000,58500,10.42,0,14,8,100,0,13903
5799,17.99%,12000,80000,28.43,0,36,14,100,0,91045
161882,18.06%,30000,200000,11.91,0,24,9,54,0,106146
51651,18.06%,12000,60000,26.46,0,43,17,71,0,97125
80838,8.24%,10000,85000,4.59,0,21,14,89,0,5967
125842,10.91%,20000,52000,43.46,4,30,15,60,0,139316
9382,7.99%,3000,100000,28.94,4,31,14,74,0,117891
260413,17.97%,4000,70000,10.15,0,8,4,100,0,18633
23548,8.24%,30000,116000,22.87,0,39,20,100,0,84423
40389,25.49%,20550,65000,29.82,0,63,17,98,0,65661
45595,21.49%,28000,136300,31.12,0,21,10,100,0,227280
74827,26.30%,12200,55000,24.75,0,12,8,100,0,26872
172834,7.21%,20000,95000,14.86,0,28,14,100,0,37501
65171,14.08%,2500,35000,33.23,0,10,5,100,0,50096
113425,17.09%,22125,51000,27.86,0,14,9,93,1,38315
49824,10.49%,3500,60000,7.44,0,12,9,100,0,16432
89147,25.49%,16000,140000,8.71,0,10,9,100,0,37659
123320,10.91%,10000,55000,14.79,0,17,6,94,0,19937
11469,7.99%,16000,147000,7.11,0,28,14,85,0,20134
182701,26.30%,19500,64000,35.29,0,31,14,93,0,127101
9346,11.39%,20000,70000,11.28,1,14,7,92,0,22695
166470,10.91%,2500,24000,25.45,1,6,6,83,0,17835
28285,16.99%,15000,65000,23.03,0,20,13,95,0,48579
144743,10.91%,16500,75130,14.62,0,26,10,100,1,18662
76020,10.91%,10000,46000,29.69,0,21,17,100,1,45246
199169,7.97%,32000,75000,18.38,0,35,16,97,0,30491
105849,11.99%,9000,50000,19.42,0,16,11,100,0,38482
193258,26.30%,10000,32000,31.58,0,17,9,100,0,34389
38413,12.74%,1500,48000,21.93,0,11,8,100,0,31091
42795,12.74%,6000,130000,17.04,0,33,9,64,0,244194
47566,13.49%,3600,100000,6.89,1,19,8,94,0,32916
229631,5.31%,26000,108000,18.12,0,37,14,80,0,53234
200542,7.97%,30000,39000,0.77,0,10,4,100,0,589
27399,7.99%,7000,35000,29.8,0,19,9,100,0,78738
74997,23.88%,2400,31834,12.22,0,5,3,100,0,13765
217499,6.19%,10000,80000,20.09,0,32,14,100,0,60502
18873,11.39%,5000,24780,4.67,0,6,4,100,0,4432
77751,12.62%,8400,52500,10.9,0,23,6,95,0,19616
167679,23.88%,30000,75000,36.59,0,25,11,100,0,78078
248613,27.27%,19050,145000,19.68,1,23,12,87,0,141679
222282,8.08%,8000,80000,29.03,0,20,9,100,0,83622
135468,24.85%,40000,155000,21.99,0,30,13,96,0,136552
248132,16.91%,20000,85000,21.8,0,25,11,100,0,64174
222716,6.83%,40000,140000,14.68,0,19,9,100,0,85685
248643,26.31%,20000,100000,21.12,0,29,15,100,1,153059
2459,10.49%,5000,71000,29.6,6,31,9,71,0,92130
57544,30.84%,16000,93200,29.17,0,14,11,100,0,60805
51591,18.06%,21000,48500,15.39,0,19,15,100,0,67328
78607,5.32%,11000,88000,14.52,0,39,12,100,0,46191
209923,9.93%,10500,35000,9.72,0,6,6,100,0,8225
156402,9.93%,25000,43000,16.02,0,12,1,75,0,35913
228662,17.47%,6000,55000,3.27,1,8,5,87,0,2539
1287,18.99%,30000,80000,22.47,0,22,8,100,0,38152
200996,14.08%,12000,62050,31.9,0,30,28,100,0,111304
200527,10.91%,5000,35000,16.84,0,13,10,100,0,17644
232745,6.71%,10000,73000,9.58,0,23,10,95,0,13918
97447,8.24%,14400,80000,9.9,1,24,10,95,1,25911
186436,13.59%,25000,180000,12.57,0,22,17,100,0,40375
124933,20.00%,4800,27000,27.73,0,27,10,77,0,14082
154725,17.09%,20000,94000,24.07,0,16,13,100,0,72614
158835,26.30%,10000,49000,32.94,0,30,11,93,0,43505
164100,12.62%,8000,116000,21.47,0,35,19,93,0,216461
125760,14.08%,16000,135000,11.32,3,18,6,83,0,55242
168877,7.35%,10000,65000,17.01,0,24,8,95,0,11398
166789,10.42%,2000,71000,32.66,0,34,22,100,0,115857
212757,10.42%,13650,48340,9.93,0,17,12,94,0,13670
66241,10.42%,20000,44407,29.24,0,22,11,100,1,42029
52029,16.02%,13350,90000,2.19,0,8,6,100,0,5094
245650,28.72%,30000,40000,13.26,0,15,7,100,1,12228
141128,21.45%,18000,110000,14.6,0,18,13,88,0,34844
77494,11.99%,16000,74500,13.38,0,21,10,85,0,13613
44220,13.99%,15000,70000,16.51,0,20,7,100,2,68216
71232,11.99%,4200,49000,9.04,1,17,12,93,0,14347
207748,13.59%,20000,35000,24.25,0,18,10,72,0,28706
72548,21.45%,15000,60000,7.14,0,20,11,77,0,11241
195636,14.07%,5000,25000,9.31,0,22,4,100,0,31288
106278,7.97%,35000,130000,17.49,0,23,9,100,0,49512
89685,14.99%,17425,50000,13.3,0,22,12,100,1,25055
89078,11.44%,3000,78000,8.12,0,13,12,100,0,7732
102302,16.02%,25000,56600,20.17,0,45,7,100,0,53211
61805,10.42%,24000,95000,7.25,0,22,6,100,0,26553
249639,10.08%,15000,60000,24.81,0,52,32,98,0,186156
32068,11.44%,35000,160000,8.25,0,22,12,100,0,45707
156186,19.03%,2500,32000,11.7,1,12,11,91,0,7995
